System	Ring	|Q2|	Q2zz
File: f1-6-31+Gstar.output	Ring 1: (C-4, C-5, C-6, C-7, C-8, C-9)	5.439027	-3.867990
	Ring 2: (C-1, C-2, C-3, C-4, C-5)	4.035992	-1.603291
	Ring 3: (C-2, C-3, C-14, C-15, C-16, C-17)	5.439123	-3.867907
	Ac	0.470435	0.468768
	A1	0.622012	0.591167
	A-1	0.622021	0.591173
	Bc	0.394167	0.387996
	B1	0.482292	0.340022
	B-1	0.482358	0.340099
	Cc	0.470435	0.468768
	C1	0.622023	0.591175
	C-1	0.622032	0.591186
	Total descriptors referred to origin	9.948341	-9.890760
