System	Ring	|Q2|	Q2zz
File: f4-6-31+Gstar.output	Ring 1: (C-22, C-24, C-29, C-34, C-36, C-41)	5.116707	-3.508136
	Ring 2: (C-6, C-13, C-15, C-24)	3.185484	-0.569814
	Ring 3: (C-13, C-15, C-61, C-69, C-71)	4.441704	-2.872920
	Ring 4: (C-19, C-26, C-27, C-31, C-37, C-39)	5.295513	-2.912630
	Ring 5: (C-1, C-11, C-18, C-19, C-26)	3.843833	-1.071782
	Ring 6: (C-11, C-18, C-60, C-64, C-68, C-74)	4.811486	-2.123295
	Ac	0.473520	0.470748
	A1	0.572295	0.522366
	A-1	0.611752	0.576003
	Bc	0.377551	0.367499
	B1	0.499428	0.410930
	B-1	0.410416	0.260939
	Cc	0.446216	0.443814
	C1	0.566478	0.453593
	C-1	0.594722	0.529892
	Dc	0.469422	0.326779
	D1	0.450075	0.257360
	D-1	0.553176	0.189248
	Ec	0.393176	0.269518
	E1	0.306014	0.163767
	E-1	0.466829	0.195210
	Fc	0.468109	0.338929
	F1	0.486260	0.226407
	F-1	0.586539	0.547907
	Total descriptors referred to origin	29.055326	-13.855506
